iter	Passed	Remaining
0	52	26205
1	97	24342
2	147	24375
3	204	25328
4	257	25497
5	303	24963
6	341	24054
7	369	22738
8	405	22149
9	423	20745
10	457	20355
11	495	20166
12	532	19954
13	547	19019
14	581	18807
15	605	18301
16	639	18173
17	686	18386
18	729	18471
19	767	18431
20	783	17869
21	817	17752
22	827	17164
23	862	17107
24	901	17133
25	913	16659
26	938	16449
27	977	16477
28	1021	16589
29	1046	16391
30	1088	16471
31	1106	16178
32	1144	16202
33	1190	16315
34	1231	16356
35	1270	16374
36	1312	16422
37	1329	16164
38	1369	16190
39	1407	16190
40	1428	15989
41	1462	15950
42	1478	15712
43	1493	15479
44	1508	15254
45	1543	15234
46	1583	15266
47	1620	15262
48	1640	15101
49	1669	15022
50	1706	15026
51	1749	15071
52	1786	15067
53	1826	15084
54	1866	15103
55	1879	14898
56	1913	14869
57	1955	14905
58	1997	14932
59	2036	14936
60	2069	14895
61	2084	14727
62	2116	14682
63	2143	14599
64	2185	14627
65	2230	14665
66	2255	14576
67	2279	14482
68	2313	14449
69	2347	14420
70	2382	14398
71	2416	14364
72	2423	14176
73	2455	14135
74	2466	13976
75	2502	13961
76	2537	13938
77	2574	13929
78	2597	13841
79	2632	13821
80	2653	13723
81	2688	13705
82	2722	13680
83	2761	13674
84	2795	13647
85	2828	13616
86	2839	13480
87	2874	13459
88	2909	13437
89	2929	13345
90	2964	13324
91	2998	13298
92	3034	13281
93	3071	13265
94	3105	13238
95	3147	13245
96	3159	13126
97	3201	13133
98	3243	13137
99	3281	13124
100	3298	13030
101	3309	12914
102	3345	12893
103	3378	12862
104	3398	12785
105	3436	12774
106	3449	12669
107	3464	12573
108	3498	12550
109	3511	12450
110	3551	12444
111	3575	12387
112	3615	12383
113	3644	12339
114	3683	12332
115	3693	12227
116	3700	12114
117	3711	12014
118	3749	12003
119	3797	12026
120	3835	12014
121	3872	11998
122	3879	11890
123	3913	11866
124	3950	11851
125	3985	11828
126	4020	11808
127	4053	11779
128	4086	11752
129	4104	11683
130	4120	11606
131	4146	11559
132	4175	11521
133	4212	11506
134	4233	11445
135	4274	11441
136	4308	11415
137	4333	11367
138	4369	11347
139	4380	11263
140	4394	11187
141	4430	11169
142	4495	11223
143	4511	11152
144	4548	11137
145	4583	11113
146	4617	11087
147	4649	11058
148	4684	11034
149	4718	11010
150	4726	10925
151	4762	10902
152	4796	10879
153	4817	10823
154	4849	10793
155	4868	10735
156	4903	10713
157	4919	10647
158	4928	10570
159	4964	10548
160	4998	10524
161	5014	10462
162	5047	10434
163	5083	10415
164	5095	10346
165	5129	10321
166	5162	10293
167	5199	10275
168	5253	10289
169	5292	10273
170	5329	10253
171	5350	10203
172	5384	10176
173	5418	10152
174	5430	10084
175	5440	10015
176	5481	10003
177	5515	9977
178	5550	9953
179	5561	9887
180	5593	9858
181	5627	9832
182	5661	9806
183	5694	9778
184	5728	9753
185	5761	9726
186	5798	9706
187	5832	9680
188	5867	9655
189	5901	9629
190	5935	9603
191	5977	9588
192	6011	9561
193	6053	9547
194	6089	9524
195	6122	9496
196	6156	9469
197	6194	9447
198	6231	9425
199	6275	9413
200	6310	9387
201	6345	9361
202	6381	9336
203	6415	9309
204	6450	9282
205	6482	9251
206	6522	9232
207	6559	9208
208	6593	9180
209	6626	9151
210	6660	9122
211	6696	9097
212	6729	9067
213	6763	9039
214	6798	9012
215	6833	8985
216	6868	8957
217	6903	8930
218	6938	8903
219	6973	8874
220	7006	8845
221	7041	8817
222	7083	8798
223	7116	8768
224	7150	8739
225	7183	8709
226	7220	8684
227	7258	8659
228	7293	8631
229	7336	8611
230	7370	8583
231	7405	8554
232	7440	8526
233	7472	8494
234	7505	8464
235	7544	8439
236	7578	8409
237	7611	8379
238	7647	8351
